Year,Variable,Unit,Commodity,Fresh ,Processed,Total,,,,,,,,, 
1996,Fruit,Pounds,Avocados,1.6,,1.6,,,,,,,,,
1997,Fruit,Pounds,Avocados,1.75,,1.75,,,,,,,,,
1998,Fruit,Pounds,Avocados,1.54,,1.54,,,,,,,,,
1999,Fruit,Pounds,Avocados,1.94,,1.94,,,,,,,,,
2000,Fruit,Pounds,Avocados,2.23,,2.23,,,,,,,,,
2001,Fruit,Pounds,Avocados,2.53,,2.53,,,,,,,,,
2002,Fruit,Pounds,Avocados,2.45,,2.45,,,,,,,,,
2003,Fruit,Pounds,Avocados,2.69,,2.69,,,,,,,,,
2004,Fruit,Pounds,Avocados,3.2,,3.2,,,,,,,,,
2005,Fruit,Pounds,Avocados,3.49,,3.49,,,,,,,,,
2006,Fruit,Pounds,Avocados,3.54,,3.54,,,,,,,,,
2007,Fruit,Pounds,Avocados,3.53,,3.53,,,,,,,,,
2008,Fruit,Pounds,Avocados,3.87,,3.87,,,,,,,,,
2009,Fruit,Pounds,Avocados,4.28,,4.28,,,,,,,,,
2010,Fruit,Pounds,Avocados,4.03,,4.03,,,,,,,,,
2011,Fruit,Pounds,Avocados,5.14,,5.14,,,,,,,,,
2012,Fruit,Pounds,Avocados,5.65,,5.65,,,,,,,,,
2013,Fruit,Pounds,Avocados,6.16,,6.16,,,,,,,,,
2014,Fruit,Pounds,Avocados,7.03,,7.03,,,,,,,,,
2015,Fruit,Pounds,Avocados,7.24,,7.24,,,,,,,,,
2016,Fruit,Pounds,Avocados,7.13,,7.13,,,,,,,,,
1970,Fruit,Pounds,Bananas,17.38,,17.38,,,,,,,,,
1971,Fruit,Pounds,Bananas,18.06,,18.06,,,,,,,,,
1972,Fruit,Pounds,Bananas,17.92,,17.92,,,,,,,,,
1973,Fruit,Pounds,Bananas,18.16,,18.16,,,,,,,,,
1974,Fruit,Pounds,Bananas,18.49,,18.49,,,,,,,,,
1975,Fruit,Pounds,Bananas,17.64,,17.64,,,,,,,,,
1976,Fruit,Pounds,Bananas,19.25,,19.25,,,,,,,,,
1977,Fruit,Pounds,Bananas,19.21,,19.21,,,,,,,,,
1978,Fruit,Pounds,Bananas,20.19,,20.19,,,,,,,,,
1979,Fruit,Pounds,Bananas,20.98,,20.98,,,,,,,,,
1980,Fruit,Pounds,Bananas,20.77,,20.77,,,,,,,,,
1981,Fruit,Pounds,Bananas,21.48,,21.48,,,,,,,,,
1982,Fruit,Pounds,Bananas,22.54,,22.54,,,,,,,,,
1983,Fruit,Pounds,Bananas,21.25,,21.25,,,,,,,,,
1984,Fruit,Pounds,Bananas,22.18,,22.18,,,,,,,,,
1985,Fruit,Pounds,Bananas,23.48,,23.48,,,,,,,,,
1986,Fruit,Pounds,Bananas,25.82,,25.82,,,,,,,,,
1987,Fruit,Pounds,Bananas,25.02,,25.02,,,,,,,,,
1988,Fruit,Pounds,Bananas,24.29,,24.29,,,,,,,,,
1989,Fruit,Pounds,Bananas,24.71,,24.71,,,,,,,,,
1990,Fruit,Pounds,Bananas,24.34,,24.34,,,,,,,,,
1991,Fruit,Pounds,Bananas,25.03,,25.03,,,,,,,,,
1992,Fruit,Pounds,Bananas,27.1,,27.1,,,,,,,,,
1993,Fruit,Pounds,Bananas,26.58,,26.58,,,,,,,,,
1994,Fruit,Pounds,Bananas,27.76,,27.76,,,,,,,,,
1995,Fruit,Pounds,Bananas,27.06,,27.06,,,,,,,,,
1996,Fruit,Pounds,Bananas,27.58,,27.58,,,,,,,,,
1997,Fruit,Pounds,Bananas,27.14,,27.14,,,,,,,,,
1998,Fruit,Pounds,Bananas,28,,28,,,,,,,,,
1999,Fruit,Pounds,Bananas,30.69,,30.69,,,,,,,,,
2000,Fruit,Pounds,Bananas,28.45,,28.45,,,,,,,,,
2001,Fruit,Pounds,Bananas,26.63,,26.63,,,,,,,,,
2002,Fruit,Pounds,Bananas,26.78,,26.78,,,,,,,,,
2003,Fruit,Pounds,Bananas,26.17,,26.17,,,,,,,,,
2004,Fruit,Pounds,Bananas,25.78,,25.78,,,,,,,,,
2005,Fruit,Pounds,Bananas,25.18,,25.18,,,,,,,,,
2006,Fruit,Pounds,Bananas,25.11,,25.11,,,,,,,,,
2007,Fruit,Pounds,Bananas,25.95,,25.95,,,,,,,,,
2008,Fruit,Pounds,Bananas,25.04,,25.04,,,,,,,,,
2009,Fruit,Pounds,Bananas,22.01,,22.01,,,,,,,,,
2010,Fruit,Pounds,Bananas,25.61,,25.61,,,,,,,,,
2011,Fruit,Pounds,Bananas,25.53,,25.53,,,,,,,,,
2012,Fruit,Pounds,Bananas,26.98,,26.98,,,,,,,,,
2013,Fruit,Pounds,Bananas,28.08,,28.08,,,,,,,,,
2014,Fruit,Pounds,Bananas,27.95,,27.95,,,,,,,,,
2015,Fruit,Pounds,Bananas,28.03,,28.03,,,,,,,,,
2016,Fruit,Pounds,Bananas,27.55,,27.55,,,,,,,,,
1970,Fruit,Pounds,Blackberries,,0.1,0.1,,,,,,,,,
1971,Fruit,Pounds,Blackberries,,0.16,0.16,,,,,,,,,
1972,Fruit,Pounds,Blackberries,,0.11,0.11,,,,,,,,,
1973,Fruit,Pounds,Blackberries,,0.08,0.08,,,,,,,,,
1974,Fruit,Pounds,Blackberries,,0.06,0.06,,,,,,,,,
1975,Fruit,Pounds,Blackberries,,0.08,0.08,,,,,,,,,
1976,Fruit,Pounds,Blackberries,,0.12,0.12,,,,,,,,,
1977,Fruit,Pounds,Blackberries,,0.12,0.12,,,,,,,,,
1978,Fruit,Pounds,Blackberries,,0.1,0.1,,,,,,,,,
1979,Fruit,Pounds,Blackberries,,0.06,0.06,,,,,,,,,
1980,Fruit,Pounds,Blackberries,,0.02,0.02,,,,,,,,,
1981,Fruit,Pounds,Blackberries,,0.04,0.04,,,,,,,,,
1982,Fruit,Pounds,Blackberries,,0.09,0.09,,,,,,,,,
1983,Fruit,Pounds,Blackberries,,0.08,0.08,,,,,,,,,
1984,Fruit,Pounds,Blackberries,,0.04,0.04,,,,,,,,,
1985,Fruit,Pounds,Blackberries,,0.04,0.04,,,,,,,,,
1986,Fruit,Pounds,Blackberries,,0.04,0.04,,,,,,,,,
1987,Fruit,Pounds,Blackberries,,0.07,0.07,,,,,,,,,
1988,Fruit,Pounds,Blackberries,,0.13,0.13,,,,,,,,,
1989,Fruit,Pounds,Blackberries,,0.07,0.07,,,,,,,,,
1990,Fruit,Pounds,Blackberries,,0.08,0.08,,,,,,,,,
1991,Fruit,Pounds,Blackberries,,0.07,0.07,,,,,,,,,
1992,Fruit,Pounds,Blackberries,,0.07,0.07,,,,,,,,,
1993,Fruit,Pounds,Blackberries,,0.11,0.11,,,,,,,,,
1994,Fruit,Pounds,Blackberries,,0.08,0.08,,,,,,,,,
1995,Fruit,Pounds,Blackberries,,0.12,0.12,,,,,,,,,
1996,Fruit,Pounds,Blackberries,,0.06,0.06,,,,,,,,,
1997,Fruit,Pounds,Blackberries,,0.07,0.07,,,,,,,,,
1998,Fruit,Pounds,Blackberries,,0.1,0.1,,,,,,,,,
1999,Fruit,Pounds,Blackberries,,0.09,0.09,,,,,,,,,
2000,Fruit,Pounds,Blackberries,,0.09,0.09,,,,,,,,,
2001,Fruit,Pounds,Blackberries,,0.08,0.08,,,,,,,,,
2002,Fruit,Pounds,Blackberries,,0.08,0.08,,,,,,,,,
2003,Fruit,Pounds,Blackberries,,0.08,0.08,,,,,,,,,
2004,Fruit,Pounds,Blackberries,,0.07,0.07,,,,,,,,,
2005,Fruit,Pounds,Blackberries,,0.11,0.11,,,,,,,,,
2006,Fruit,Pounds,Blackberries,,0.08,0.08,,,,,,,,,
2007,Fruit,Pounds,Blackberries,,0.1,0.1,,,,,,,,,
2008,Fruit,Pounds,Blackberries,,0.1,0.1,,,,,,,,,
2009,Fruit,Pounds,Blackberries,,0.09,0.09,,,,,,,,,
2010,Fruit,Pounds,Blackberries,,0.09,0.09,,,,,,,,,
2011,Fruit,Pounds,Blackberries,,0.07,0.07,,,,,,,,,
2012,Fruit,Pounds,Blackberries,,0.09,0.09,,,,,,,,,
2013,Fruit,Pounds,Blackberries,,0.11,0.11,,,,,,,,,
2014,Fruit,Pounds,Blackberries,,0.08,0.08,,,,,,,,,
2015,Fruit,Pounds,Blackberries,,0.11,0.11,,,,,,,,,
2016,Fruit,Pounds,Blackberries,,0.08,0.08,,,,,,,,,
1970,Fruit,Pounds,Blueberries,,0.22,0.22,,,,,,,,,
1971,Fruit,Pounds,Blueberries,,0.18,0.18,,,,,,,,,
1972,Fruit,Pounds,Blueberries,,0.19,0.19,,,,,,,,,
1973,Fruit,Pounds,Blueberries,,0.17,0.17,,,,,,,,,
1974,Fruit,Pounds,Blueberries,,0.15,0.15,,,,,,,,,
1975,Fruit,Pounds,Blueberries,,0.2,0.2,,,,,,,,,
1976,Fruit,Pounds,Blueberries,,0.14,0.14,,,,,,,,,
1977,Fruit,Pounds,Blueberries,,0.14,0.14,,,,,,,,,
1978,Fruit,Pounds,Blueberries,,0.12,0.12,,,,,,,,,
1979,Fruit,Pounds,Blueberries,,0.14,0.14,,,,,,,,,
1980,Fruit,Pounds,Blueberries,0.18,0.19,0.37,,,,,,,,,
1981,Fruit,Pounds,Blueberries,0.16,0.18,0.34,,,,,,,,,
1982,Fruit,Pounds,Blueberries,0.16,0.12,0.27,,,,,,,,,
1983,Fruit,Pounds,Blueberries,0.14,0.05,0.18,,,,,,,,,
1984,Fruit,Pounds,Blueberries,0.24,0.26,0.5,,,,,,,,,
1985,Fruit,Pounds,Blueberries,0.25,0.23,0.48,,,,,,,,,
1986,Fruit,Pounds,Blueberries,0.19,0.39,0.58,,,,,,,,,
1987,Fruit,Pounds,Blueberries,0.19,0.27,0.46,,,,,,,,,
1988,Fruit,Pounds,Blueberries,0.25,0.22,0.47,,,,,,,,,
1989,Fruit,Pounds,Blueberries,0.23,0.31,0.54,,,,,,,,,
1990,Fruit,Pounds,Blueberries,0.11,0.34,0.44,,,,,,,,,
1991,Fruit,Pounds,Blueberries,0.17,0.35,0.52,,,,,,,,,
1992,Fruit,Pounds,Blueberries,0.2,0.42,0.62,,,,,,,,,
1993,Fruit,Pounds,Blueberries,0.26,0.49,0.75,,,,,,,,,
1994,Fruit,Pounds,Blueberries,0.27,0.5,0.77,,,,,,,,,
1995,Fruit,Pounds,Blueberries,0.32,0.47,0.79,,,,,,,,,
1996,Fruit,Pounds,Blueberries,0.27,0.38,0.65,,,,,,,,,
1997,Fruit,Pounds,Blueberries,0.29,0.33,0.63,,,,,,,,,
1998,Fruit,Pounds,Blueberries,0.32,0.36,0.68,,,,,,,,,
1999,Fruit,Pounds,Blueberries,0.31,0.41,0.73,,,,,,,,,
2000,Fruit,Pounds,Blueberries,0.26,0.34,0.59,,,,,,,,,
2001,Fruit,Pounds,Blueberries,0.34,0.4,0.74,,,,,,,,,
2002,Fruit,Pounds,Blueberries,0.39,0.26,0.65,,,,,,,,,
2003,Fruit,Pounds,Blueberries,0.38,0.37,0.76,,,,,,,,,
2004,Fruit,Pounds,Blueberries,0.53,0.25,0.78,,,,,,,,,
2005,Fruit,Pounds,Blueberries,0.44,0.44,0.88,,,,,,,,,
2006,Fruit,Pounds,Blueberries,0.56,0.36,0.93,,,,,,,,,
2007,Fruit,Pounds,Blueberries,0.59,0.38,0.97,,,,,,,,,
2008,Fruit,Pounds,Blueberries,0.8,0.39,1.2,,,,,,,,,
2009,Fruit,Pounds,Blueberries,0.96,0.54,1.5,,,,,,,,,
2010,Fruit,Pounds,Blueberries,1.12,0.59,1.71,,,,,,,,,
2011,Fruit,Pounds,Blueberries,1.29,0.47,1.75,,,,,,,,,
2012,Fruit,Pounds,Blueberries,1.33,0.45,1.78,,,,,,,,,
2013,Fruit,Pounds,Blueberries,1.38,0.55,1.94,,,,,,,,,
2014,Fruit,Pounds,Blueberries,1.51,0.64,2.16,,,,,,,,,
2015,Fruit,Pounds,Blueberries,1.61,0.7,2.31,,,,,,,,,
2016,Fruit,Pounds,Blueberries,1.77,0.66,2.44,,,,,,,,,
1970,Fruit,Pounds,Cantaloupe,7.01,,7.01,,,,,,,,,
1971,Fruit,Pounds,Cantaloupe,6.64,,6.64,,,,,,,,,
1972,Fruit,Pounds,Cantaloupe,6.77,,6.77,,,,,,,,,
1973,Fruit,Pounds,Cantaloupe,5.88,,5.88,,,,,,,,,
1974,Fruit,Pounds,Cantaloupe,5.14,,5.14,,,,,,,,,
1975,Fruit,Pounds,Cantaloupe,5.05,,5.05,,,,,,,,,
1976,Fruit,Pounds,Cantaloupe,5.05,,5.05,,,,,,,,,
1977,Fruit,Pounds,Cantaloupe,5.52,,5.52,,,,,,,,,
1978,Fruit,Pounds,Cantaloupe,6.58,,6.58,,,,,,,,,
1979,Fruit,Pounds,Cantaloupe,6.12,,6.12,,,,,,,,,
1980,Fruit,Pounds,Cantaloupe,5.85,,5.85,,,,,,,,,
1981,Fruit,Pounds,Cantaloupe,6.12,,6.12,,,,,,,,,
1982,Fruit,Pounds,Cantaloupe,7.67,,7.67,,,,,,,,,
1983,Fruit,Pounds,Cantaloupe,6.54,,6.54,,,,,,,,,
1984,Fruit,Pounds,Cantaloupe,7.67,,7.67,,,,,,,,,
1985,Fruit,Pounds,Cantaloupe,8.47,,8.47,,,,,,,,,
1986,Fruit,Pounds,Cantaloupe,9.43,,9.43,,,,,,,,,
1987,Fruit,Pounds,Cantaloupe,9.15,,9.15,,,,,,,,,
1988,Fruit,Pounds,Cantaloupe,7.86,,7.86,,,,,,,,,
1989,Fruit,Pounds,Cantaloupe,10.36,,10.36,,,,,,,,,
1990,Fruit,Pounds,Cantaloupe,9.23,,9.23,,,,,,,,,
1991,Fruit,Pounds,Cantaloupe,8.64,,8.64,,,,,,,,,
1992,Fruit,Pounds,Cantaloupe,8.47,,8.47,,,,,,,,,
1993,Fruit,Pounds,Cantaloupe,8.61,,8.61,,,,,,,,,
1994,Fruit,Pounds,Cantaloupe,8.38,,8.38,,,,,,,,,
1995,Fruit,Pounds,Cantaloupe,8.97,,8.97,,,,,,,,,
1996,Fruit,Pounds,Cantaloupe,10.28,,10.28,,,,,,,,,
1997,Fruit,Pounds,Cantaloupe,10.52,,10.52,,,,,,,,,
1998,Fruit,Pounds,Cantaloupe,10.64,,10.64,,,,,,,,,
1999,Fruit,Pounds,Cantaloupe,11.38,,11.38,,,,,,,,,
2000,Fruit,Pounds,Cantaloupe,11.12,,11.12,,,,,,,,,
2001,Fruit,Pounds,Cantaloupe,11.16,,11.16,,,,,,,,,
2002,Fruit,Pounds,Cantaloupe,11.1,,11.1,,,,,,,,,
2003,Fruit,Pounds,Cantaloupe,10.79,,10.79,,,,,,,,,
2004,Fruit,Pounds,Cantaloupe,9.81,,9.81,,,,,,,,,
2005,Fruit,Pounds,Cantaloupe,9.58,,9.58,,,,,,,,,
2006,Fruit,Pounds,Cantaloupe,9.25,,9.25,,,,,,,,,
2007,Fruit,Pounds,Cantaloupe,9.58,,9.58,,,,,,,,,
2008,Fruit,Pounds,Cantaloupe,8.87,,8.87,,,,,,,,,
2009,Fruit,Pounds,Cantaloupe,9.05,,9.05,,,,,,,,,
2010,Fruit,Pounds,Cantaloupe,8.54,,8.54,,,,,,,,,
2011,Fruit,Pounds,Cantaloupe,8.65,,8.65,,,,,,,,,
2012,Fruit,Pounds,Cantaloupe,7.51,,7.51,,,,,,,,,
2013,Fruit,Pounds,Cantaloupe,8.28,,8.28,,,,,,,,,
2014,Fruit,Pounds,Cantaloupe,6.59,,6.59,,,,,,,,,
2015,Fruit,Pounds,Cantaloupe,6.76,,6.76,,,,,,,,,
2016,Fruit,Pounds,Cantaloupe,7.12,,7.12,,,,,,,,,
1970,Fruit,Pounds,Cherries,0.5,1.13,1.63,,,,,,,,,
1971,Fruit,Pounds,Cherries,0.67,1.2,1.87,,,,,,,,,
1972,Fruit,Pounds,Cherries,0.38,1.11,1.49,,,,,,,,,
1973,Fruit,Pounds,Cherries,0.73,1.19,1.92,,,,,,,,,
1974,Fruit,Pounds,Cherries,0.58,0.96,1.54,,,,,,,,,
1975,Fruit,Pounds,Cherries,0.69,0.85,1.55,,,,,,,,,
1976,Fruit,Pounds,Cherries,0.82,0.98,1.8,,,,,,,,,
1977,Fruit,Pounds,Cherries,0.63,0.97,1.6,,,,,,,,,
1978,Fruit,Pounds,Cherries,0.53,0.93,1.46,,,,,,,,,
1979,Fruit,Pounds,Cherries,0.68,0.79,1.46,,,,,,,,,
1980,Fruit,Pounds,Cherries,0.69,0.87,1.55,,,,,,,,,
1981,Fruit,Pounds,Cherries,0.53,0.79,1.32,,,,,,,,,
1982,Fruit,Pounds,Cherries,0.52,1.01,1.53,,,,,,,,,
1983,Fruit,Pounds,Cherries,0.73,0.91,1.64,,,,,,,,,
1984,Fruit,Pounds,Cherries,0.7,1,1.7,,,,,,,,,
1985,Fruit,Pounds,Cherries,0.42,0.96,1.38,,,,,,,,,
1986,Fruit,Pounds,Cherries,0.49,0.94,1.43,,,,,,,,,
1987,Fruit,Pounds,Cherries,0.72,1.42,2.14,,,,,,,,,
1988,Fruit,Pounds,Cherries,0.52,1.08,1.59,,,,,,,,,
1989,Fruit,Pounds,Cherries,0.54,1.07,1.61,,,,,,,,,
1990,Fruit,Pounds,Cherries,0.39,1.17,1.56,,,,,,,,,
1991,Fruit,Pounds,Cherries,0.4,0.88,1.28,,,,,,,,,
1992,Fruit,Pounds,Cherries,0.53,0.93,1.46,,,,,,,,,
1993,Fruit,Pounds,Cherries,0.43,1.11,1.54,,,,,,,,,
1994,Fruit,Pounds,Cherries,0.52,1.09,1.61,,,,,,,,,
1995,Fruit,Pounds,Cherries,0.29,1.05,1.33,,,,,,,,,
1996,Fruit,Pounds,Cherries,0.4,0.89,1.3,,,,,,,,,
1997,Fruit,Pounds,Cherries,0.6,0.95,1.54,,,,,,,,,
1998,Fruit,Pounds,Cherries,0.52,1.15,1.66,,,,,,,,,
1999,Fruit,Pounds,Cherries,0.63,0.84,1.46,,,,,,,,,
2000,Fruit,Pounds,Cherries,0.6,0.88,1.48,,,,,,,,,
2001,Fruit,Pounds,Cherries,0.77,0.85,1.63,,,,,,,,,
2002,Fruit,Pounds,Cherries,0.7,0.52,1.22,,,,,,,,,
2003,Fruit,Pounds,Cherries,0.92,0.82,1.74,,,,,,,,,
2004,Fruit,Pounds,Cherries,0.99,0.8,1.79,,,,,,,,,
2005,Fruit,Pounds,Cherries,0.87,0.83,1.7,,,,,,,,,
2006,Fruit,Pounds,Cherries,1.06,0.9,1.97,,,,,,,,,
2007,Fruit,Pounds,Cherries,1.22,0.92,2.14,,,,,,,,,
2008,Fruit,Pounds,Cherries,1.31,0.86,2.17,,,,,,,,,
2009,Fruit,Pounds,Cherries,1.56,0.97,2.53,,,,,,,,,
2010,Fruit,Pounds,Cherries,1.31,0.84,2.15,,,,,,,,,
2011,Fruit,Pounds,Cherries,1.3,0.83,2.14,,,,,,,,,
2012,Fruit,Pounds,Cherries,1.5,0.75,2.26,,,,,,,,,
2013,Fruit,Pounds,Cherries,0.99,0.57,1.56,,,,,,,,,
2014,Fruit,Pounds,Cherries,1.17,0.89,2.06,,,,,,,,,
2015,Fruit,Pounds,Cherries,1.15,0.99,2.13,,,,,,,,,
2016,Fruit,Pounds,Cherries,1.17,0.97,2.14,,,,,,,,,
1970,Fruit,Pounds,Cranberries,0.18,,0.18,,,,,,,,,
1971,Fruit,Pounds,Cranberries,0.19,,0.19,,,,,,,,,
1972,Fruit,Pounds,Cranberries,0.15,,0.15,,,,,,,,,
1973,Fruit,Pounds,Cranberries,0.19,,0.19,,,,,,,,,
1974,Fruit,Pounds,Cranberries,0.15,,0.15,,,,,,,,,
1975,Fruit,Pounds,Cranberries,0.14,,0.14,,,,,,,,,
1976,Fruit,Pounds,Cranberries,0.19,,0.19,,,,,,,,,
1977,Fruit,Pounds,Cranberries,0.18,,0.18,,,,,,,,,
1978,Fruit,Pounds,Cranberries,0.18,,0.18,,,,,,,,,
1979,Fruit,Pounds,Cranberries,0.13,,0.13,,,,,,,,,
1980,Fruit,Pounds,Cranberries,0.14,,0.14,,,,,,,,,
1981,Fruit,Pounds,Cranberries,0.21,,0.21,,,,,,,,,
1982,Fruit,Pounds,Cranberries,0.21,,0.21,,,,,,,,,
1983,Fruit,Pounds,Cranberries,0.14,,0.14,,,,,,,,,
1984,Fruit,Pounds,Cranberries,0.13,,0.13,,,,,,,,,
1985,Fruit,Pounds,Cranberries,0.13,,0.13,,,,,,,,,
1986,Fruit,Pounds,Cranberries,0.14,,0.14,,,,,,,,,
1987,Fruit,Pounds,Cranberries,0.11,,0.11,,,,,,,,,
1988,Fruit,Pounds,Cranberries,0.07,,0.07,,,,,,,,,
1989,Fruit,Pounds,Cranberries,0.07,1.33,1.39,,,,,,,,,
1990,Fruit,Pounds,Cranberries,0.05,1.27,1.32,,,,,,,,,
1991,Fruit,Pounds,Cranberries,0.07,1.54,1.61,,,,,,,,,
1992,Fruit,Pounds,Cranberries,0.07,1.5,1.57,,,,,,,,,
1993,Fruit,Pounds,Cranberries,0.07,1.35,1.42,,,,,,,,,
1994,Fruit,Pounds,Cranberries,0.08,1.7,1.77,,,,,,,,,
1995,Fruit,Pounds,Cranberries,0.08,1.49,1.57,,,,,,,,,
1996,Fruit,Pounds,Cranberries,0.08,1.59,1.67,,,,,,,,,
1997,Fruit,Pounds,Cranberries,0.07,1.82,1.9,,,,,,,,,
1998,Fruit,Pounds,Cranberries,0.08,1.88,1.96,,,,,,,,,
1999,Fruit,Pounds,Cranberries,0.11,2.14,2.24,,,,,,,,,
2000,Fruit,Pounds,Cranberries,0.14,1.82,1.95,,,,,,,,,
2001,Fruit,Pounds,Cranberries,0.13,1.54,1.67,,,,,,,,,
2002,Fruit,Pounds,Cranberries,0.11,1.91,2.02,,,,,,,,,
2003,Fruit,Pounds,Cranberries,0.1,2.09,2.18,,,,,,,,,
2004,Fruit,Pounds,Cranberries,0.11,2.06,2.17,,,,,,,,,
2005,Fruit,Pounds,Cranberries,0.09,2.05,2.14,,,,,,,,,
2006,Fruit,Pounds,Cranberries,0.09,2.24,2.33,,,,,,,,,
2007,Fruit,Pounds,Cranberries,0.1,2.12,2.22,,,,,,,,,
2008,Fruit,Pounds,Cranberries,0.1,2.46,2.56,,,,,,,,,
2009,Fruit,Pounds,Cranberries,0.09,2.18,2.27,,,,,,,,,
2010,Fruit,Pounds,Cranberries,0.06,2.13,2.19,,,,,,,,,
2011,Fruit,Pounds,Cranberries,0.06,2.39,2.45,,,,,,,,,
2012,Fruit,Pounds,Cranberries,0.07,2.6,2.67,,,,,,,,,
2013,Fruit,Pounds,Cranberries,0.08,2.81,2.89,,,,,,,,,
2014,Fruit,Pounds,Cranberries,0.07,2.6,2.67,,,,,,,,,
2015,Fruit,Pounds,Cranberries,0.12,2.63,2.75,,,,,,,,,
2016,Fruit,Pounds,Cranberries,0.12,2.9,3.03,,,,,,,,,
1970,Fruit,Pounds,Dates,,0.28,0.28,,,,,,,,,
1971,Fruit,Pounds,Dates,,0.28,0.28,,,,,,,,,
1972,Fruit,Pounds,Dates,,0.27,0.27,,,,,,,,,
1973,Fruit,Pounds,Dates,,0.35,0.35,,,,,,,,,
1974,Fruit,Pounds,Dates,,0.28,0.28,,,,,,,,,
1975,Fruit,Pounds,Dates,,0.36,0.36,,,,,,,,,
1976,Fruit,Pounds,Dates,,0.35,0.35,,,,,,,,,
1977,Fruit,Pounds,Dates,,0.39,0.39,,,,,,,,,
1978,Fruit,Pounds,Dates,,0.36,0.36,,,,,,,,,
1979,Fruit,Pounds,Dates,,0.28,0.28,,,,,,,,,
1980,Fruit,Pounds,Dates,,0.15,0.15,,,,,,,,,
1981,Fruit,Pounds,Dates,,0.19,0.19,,,,,,,,,
1982,Fruit,Pounds,Dates,,0.28,0.28,,,,,,,,,
1983,Fruit,Pounds,Dates,,0.27,0.27,,,,,,,,,
1984,Fruit,Pounds,Dates,,0.34,0.34,,,,,,,,,
1985,Fruit,Pounds,Dates,,0.26,0.26,,,,,,,,,
1986,Fruit,Pounds,Dates,,0.16,0.16,,,,,,,,,
1987,Fruit,Pounds,Dates,,0.18,0.18,,,,,,,,,
1988,Fruit,Pounds,Dates,,0.25,0.25,,,,,,,,,
1989,Fruit,Pounds,Dates,,0.25,0.25,,,,,,,,,
1990,Fruit,Pounds,Dates,,0.25,0.25,,,,,,,,,
1991,Fruit,Pounds,Dates,,0.24,0.24,,,,,,,,,
1992,Fruit,Pounds,Dates,,0.17,0.17,,,,,,,,,
1993,Fruit,Pounds,Dates,,0.23,0.23,,,,,,,,,
1994,Fruit,Pounds,Dates,,0.16,0.16,,,,,,,,,
1995,Fruit,Pounds,Dates,,0.18,0.18,,,,,,,,,
1996,Fruit,Pounds,Dates,,0.17,0.17,,,,,,,,,
1997,Fruit,Pounds,Dates,,0.16,0.16,,,,,,,,,
1998,Fruit,Pounds,Dates,,0.21,0.21,,,,,,,,,
1999,Fruit,Pounds,Dates,,0.19,0.19,,,,,,,,,
2000,Fruit,Pounds,Dates,,0.13,0.13,,,,,,,,,
2001,Fruit,Pounds,Dates,,0.15,0.15,,,,,,,,,
2002,Fruit,Pounds,Dates,,0.2,0.2,,,,,,,,,
2003,Fruit,Pounds,Dates,,0.15,0.15,,,,,,,,,
2004,Fruit,Pounds,Dates,,0.14,0.14,,,,,,,,,
2005,Fruit,Pounds,Dates,,0.14,0.14,,,,,,,,,
2006,Fruit,Pounds,Dates,,0.18,0.18,,,,,,,,,
2007,Fruit,Pounds,Dates,,0.13,0.13,,,,,,,,,
2008,Fruit,Pounds,Dates,,0.22,0.22,,,,,,,,,
2009,Fruit,Pounds,Dates,,0.23,0.23,,,,,,,,,
2010,Fruit,Pounds,Dates,,0.32,0.32,,,,,,,,,
2011,Fruit,Pounds,Dates,,0.35,0.35,,,,,,,,,
2012,Fruit,Pounds,Dates,,0.35,0.35,,,,,,,,,
2013,Fruit,Pounds,Dates,,0.37,0.37,,,,,,,,,
2014,Fruit,Pounds,Dates,,0.52,0.52,,,,,,,,,
2015,Fruit,Pounds,Dates,,0.44,0.44,,,,,,,,,
2016,Fruit,Pounds,Dates,,0.36,0.36,,,,,,,,,
1970,Fruit,Pounds,Figs,,0.28,0.28,,,,,,,,,
1971,Fruit,Pounds,Figs,,0.28,0.28,,,,,,,,,
1972,Fruit,Pounds,Figs,,0.27,0.27,,,,,,,,,
1973,Fruit,Pounds,Figs,,0.35,0.35,,,,,,,,,
1974,Fruit,Pounds,Figs,,0.28,0.28,,,,,,,,,
1975,Fruit,Pounds,Figs,,0.36,0.36,,,,,,,,,
1976,Fruit,Pounds,Figs,,0.35,0.35,,,,,,,,,
1977,Fruit,Pounds,Figs,,0.39,0.39,,,,,,,,,
1978,Fruit,Pounds,Figs,,0.36,0.36,,,,,,,,,
1979,Fruit,Pounds,Figs,,0.28,0.28,,,,,,,,,
1980,Fruit,Pounds,Figs,,0.15,0.15,,,,,,,,,
1981,Fruit,Pounds,Figs,,0.19,0.19,,,,,,,,,
1982,Fruit,Pounds,Figs,,0.28,0.28,,,,,,,,,
1983,Fruit,Pounds,Figs,,0.27,0.27,,,,,,,,,
1984,Fruit,Pounds,Figs,,0.34,0.34,,,,,,,,,
1985,Fruit,Pounds,Figs,,0.26,0.26,,,,,,,,,
1986,Fruit,Pounds,Figs,,0.16,0.16,,,,,,,,,
1987,Fruit,Pounds,Figs,,0.18,0.18,,,,,,,,,
1988,Fruit,Pounds,Figs,,0.25,0.25,,,,,,,,,
1989,Fruit,Pounds,Figs,,0.25,0.25,,,,,,,,,
1990,Fruit,Pounds,Figs,,0.25,0.25,,,,,,,,,
1991,Fruit,Pounds,Figs,,0.24,0.24,,,,,,,,,
